book,chapter_order,heading_id,section_type,pov,scene_idx,paragraph_idx,n_words,text,neg,neu,pos,compound
The Way of Kings,15,interlude_1,interlude,Ishikk,1,17,84,"The Purelake drained into pits and holes when the storms came, and so you just shoved your raft into a crevice between two ridges of stone and huddled up next to it, using it to break the fury of the tempest. The storms weren't so bad out here as they were in the East, where they flung boulders and blew down buildings. Oh, he'd heard stories about that sort of life. Nu Ralik send he never had to go to such a terrible place.",0.1,0.861,0.039,-0.6924
The Way of Kings,15,interlude_1,interlude,Ishikk,1,18,24,"Besides, it was probably cold there. Ishikk pitied those who had to live in the cold. Why didn't they just come to the Purelake?",0.091,0.909,0.0,-0.3182
The Way of Kings,15,interlude_1,interlude,Ishikk,1,19,41,"*Nu Ralik send that they don't,* he thought, walking up to Maib's place. If everyone knew how nice the Purelake was, surely they'd all want to live here, and there wouldn't be a place to walk without stumbling over some foreigner!",0.0,0.839,0.161,0.7424
The Way of Kings,15,interlude_1,interlude,Ishikk,1,20,43,"He stepped up into the building, exposing his calves to the air. The floor was low enough that a few inches of water still covered it; Purelakers liked it that way. It was natural, though if the tide dropped, sometimes buildings would drain.",0.087,0.804,0.109,0.2732
The Way of Kings,15,interlude_1,interlude,Ishikk,1,21,58,"Minnows shot out around his toes. Common types, not worth anything. Maib stood inside, fixing a pot of fish soup, and she nodded to him. She was a stout woman and had been chasing Ishikk for years, trying to bait him to wed her on account of her fine cooking. He just might let her catch him someday.",0.028,0.914,0.058,0.2105
The Way of Kings,15,interlude_1,interlude,Ishikk,1,22,64,"His foreigners were in the corner, at a table only they would choose---the one that was raised up an extra bit, with footrests so that the outsiders wouldn't have to get their toes wet. *Nu Ralik, what fools!* he thought with amusement. *Inside out of the sun, wearing shirts against its warmth, feet out of the tide. No wonder their thoughts are so odd.*",0.115,0.811,0.073,-0.4911
The Way of Kings,15,interlude_1,interlude,Ishikk,1,23,8,"He set his buckets down, nodding to Maib.",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,24,5,"She eyed him. ""Good fishing?""",0.0,0.58,0.42,0.4404
The Way of Kings,15,interlude_1,interlude,Ishikk,1,25,1,"""Terrible.""",1.0,0.0,0.0,-0.4767
The Way of Kings,15,interlude_1,interlude,Ishikk,1,26,15,"""Ah well, your soup is free today, Ishikk. To make up for Vun Makak's cursing.""",0.0,0.707,0.293,0.6597
The Way of Kings,15,interlude_1,interlude,Ishikk,1,27,26,"""Thanks much kindly,"" he said, taking a steaming bowl from her. She smiled. Now he owed her. Enough bowls, and he'd be forced to wed her.",0.087,0.636,0.277,0.765
The Way of Kings,15,interlude_1,interlude,Ishikk,1,28,15,"""There's a kolgril in the bucket for you,"" he noted. ""Caught it early this morning.""",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,29,77,"Her stout face grew uncertain. A kolgril was a *very* lucky fish. Cured aching joints for a good month after you ate it, and sometimes let you see when friends were going to visit by letting you read the shapes of the clouds. Maib had quite a fondness for them, on account of the finger aches Nu Ralik had sent her. One kolgril would be two weeks of soup, and would put *her* in debt to *him*.",0.107,0.735,0.158,0.688
The Way of Kings,15,interlude_1,interlude,Ishikk,1,30,25,"""Vun Makak eye you,"" she muttered in annoyance walking over to check. ""That's one all right. How am I ever going to catch you, man?""",0.087,0.913,0.0,-0.3182
The Way of Kings,15,interlude_1,interlude,Ishikk,1,31,41,"""I'm a fisher, Maib,"" he said, taking a slurp of his soup---the bowl was shaped for easy slurping. ""Hard to catch a fisher. You know that."" He chuckled to himself, walking up to his foreigners as she plucked out the kolgril.",0.03,0.86,0.11,0.5719
The Way of Kings,15,interlude_1,interlude,Ishikk,1,32,65,"There were three of them. Two were dark-skinned Makabaki, though they were the strangest Makabaki he'd ever seen. One was thick limbed where most of his kind were small and fine-boned, and he had a completely bald head. The other was taller, with short dark hair, lean muscles, and broad shoulders. In his head, Ishikk called them Grump and Blunt, on account of their personalities.",0.0,0.946,0.054,0.5667
The Way of Kings,15,interlude_1,interlude,Ishikk,1,33,52,"The third man had light tan skin, like an Alethi. He didn't seem quite right either, though. The eyes were the wrong shape, and his accent was certainly *not* Alethi. He spoke the Selay language worse than the other two, and usually stayed quiet. He seemed thoughtful, though. Ishikk called him Thinker.",0.102,0.774,0.124,0.0772
The Way of Kings,15,interlude_1,interlude,Ishikk,1,34,25,"*Wonder how he earned that scar across his scalp,* Ishikk thought. Life outside the Purelake was very dangerous. Lots of wars, particularly to the east.",0.233,0.767,0.0,-0.7902
The Way of Kings,15,interlude_1,interlude,Ishikk,1,35,24,"""You are late, traveler,"" said tall, stiff Blunt. He had the build and air of a soldier, though none of the three carried weapons.",0.112,0.888,0.0,-0.4404
The Way of Kings,15,interlude_1,interlude,Ishikk,1,36,15,"Ishikk frowned, sitting and reluctantly pulling his feet out of the water. ""Isn't it warli-day?""",0.091,0.909,0.0,-0.1027
The Way of Kings,15,interlude_1,interlude,Ishikk,1,37,22,"""The day is right, friend,"" Grump said. ""But we were to meet at noon. Understand?"" He generally did most of the talking.",0.0,0.909,0.091,0.2732
The Way of Kings,15,interlude_1,interlude,Ishikk,1,38,19,"""We're close to that,"" Ishikk said. Honestly. Who paid attention to what *hour* it was? Foreigners. Always so busy.",0.0,0.857,0.143,0.4588
The Way of Kings,15,interlude_1,interlude,Ishikk,1,39,45,"Grump just shook his head as Maib brought them some soup. Her place was the closest thing the village had to an inn. She left Ishikk a soft cloth napkin and nice cup of sweet wine, trying to balance that fish as quickly as possible.",0.028,0.854,0.118,0.6597
The Way of Kings,15,interlude_1,interlude,Ishikk,1,40,10,"""Very well,"" Grump said. ""Let us have your report, friend.""",0.0,0.589,0.411,0.6801
The Way of Kings,15,interlude_1,interlude,Ishikk,1,41,29,"""I've been by Fu Ralis, Fu Namir, Fu Albast, and Fu Moorin this month,"" Ishikk said, taking a slurp of soup. ""Nobody has seen this man you search for.""",0.429,0.571,0.0,-0.9674
The Way of Kings,15,interlude_1,interlude,Ishikk,1,42,9,"""You asked right questions?"" Blunt said. ""You are certain?""",0.0,0.765,0.235,0.3527
The Way of Kings,15,interlude_1,interlude,Ishikk,1,43,14,"""Of course I'm certain,"" Ishikk said. ""I have been doing this for ages now.""",0.0,0.861,0.139,0.2732
The Way of Kings,15,interlude_1,interlude,Ishikk,1,44,7,"""Five months,"" Blunt corrected. ""And no results.""",0.268,0.732,0.0,-0.296
The Way of Kings,15,interlude_1,interlude,Ishikk,1,45,17,"Ishikk shrugged. ""You wish me to make up stories? Vun Makak would like me to do that.""",0.0,0.743,0.257,0.6369
The Way of Kings,15,interlude_1,interlude,Ishikk,1,46,11,"""No, no stories, friend,"" Grump said. ""We want only the truth.""",0.313,0.454,0.233,-0.3022
The Way of Kings,15,interlude_1,interlude,Ishikk,1,47,6,"""Well, I've given it to you.""",0.0,0.704,0.296,0.2732
The Way of Kings,15,interlude_1,interlude,Ishikk,1,48,10,"""You swear it by Nu Ralik, that god of yours?""",0.106,0.708,0.186,0.2263
The Way of Kings,15,interlude_1,interlude,Ishikk,1,49,10,"""Hush!"" Ishikk said. ""Don't say his name. Are you idiots?""",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,50,16,"Grump frowned. ""But he is your god. Understand? Is his name holy? Not to be spoken?""",0.0,0.825,0.175,0.4922
The Way of Kings,15,interlude_1,interlude,Ishikk,1,51,48,"Foreigners were so stupid. Of course Nu Ralik was their god, but you always *pretended* that he wasn't. Vun Makak---his younger, spiteful brother---had to be tricked into thinking you worshipped him, otherwise he'd get jealous. It was only safe to speak of these things in a holy grotto.",0.183,0.663,0.154,-0.246
The Way of Kings,15,interlude_1,interlude,Ishikk,1,52,41,"""I swear it by Vun Makak,"" Ishikk said pointedly. ""May he watch over me and curse me as he pleases. I have looked diligently. No foreigner like this one you mention---with his white hair, clever tongue, and arrowlike face---has been seen.""",0.168,0.726,0.106,-0.3204
The Way of Kings,15,interlude_1,interlude,Ishikk,1,53,10,"""He dyes his hair sometimes,"" Grump said. ""And wears disguises.""",0.182,0.818,0.0,-0.25
The Way of Kings,15,interlude_1,interlude,Ishikk,1,54,48,"""I've asked, using the names you gave me,"" Ishikk said. ""Nobody has seen him. Now, perhaps I could find you a *fish* that could locate him."" Ishikk rubbed his stubbly chin. ""I'll bet a stumpy cort could do it. Might take me a while to find one, though.""",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,55,16,"The three looked at him. ""There may be something to these fish, you know,"" Blunt said.",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,56,9,"""Superstition,"" Grump replied. ""You always look for superstition, Vao.""",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,57,38,"Vao wasn't the man's real name; Ishikk was sure they used fake names. That was why he used his own names for them. If they were going to give him fake names, he'd give them fake names back.",0.204,0.746,0.05,-0.7906
The Way of Kings,15,interlude_1,interlude,Ishikk,1,58,11,"""And you, Temoo?"" Blunt snapped. ""We can't pontificate our way to---""",0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,59,25,"""Gentlemen,"" Thinker said. He nodded to Ishikk, who was still slurping his soup. All three of them switched to another language and continued their argument.",0.094,0.906,0.0,-0.3612
The Way of Kings,15,interlude_1,interlude,Ishikk,1,60,35,"Ishikk listened with half an ear, trying to determine what language it was. He never had been good with other kinds of languages. Why did he need them? Didn't help with fishing or selling fish.",0.124,0.876,0.0,-0.5667
The Way of Kings,15,interlude_1,interlude,Ishikk,1,61,52,"He *had* searched for their man. He got around a lot, visited a lot of places around the Purelake. It was one of the reasons why he didn't want to be caught by Maib. He'd have to settle down, and that wasn't good for catching fish. Not the rare ones, at least.",0.068,0.932,0.0,-0.3875
The Way of Kings,15,interlude_1,interlude,Ishikk,1,62,58,"He didn't bother wondering why they were looking for this Hoid, whoever he was. Foreigners were always looking for things they couldn't have. Ishikk sat back, dangling his toes in the water. That felt good. Eventually, they finished their argument. They gave him some more instructions, handed him a pouch of spheres, and stepped down into the water.",0.04,0.881,0.079,0.3476
The Way of Kings,15,interlude_1,interlude,Ishikk,1,63,48,"Like most foreigners, they wore thick boots that came all the way up to their knees. They splashed in the water as they walked to the entrance. Ishikk followed, waving to Maib and picking up his buckets. He'd be back later in the day for an evening meal.",0.0,0.949,0.051,0.3612
The Way of Kings,15,interlude_1,interlude,Ishikk,1,64,30,"*Maybe I* should *let her catch me,* he thought, stepping back out into the sunlight and sighing in relief. *Nu Ralik knows I'm getting old. Might be nice to relax.*",0.0,0.754,0.246,0.8316
The Way of Kings,15,interlude_1,interlude,Ishikk,1,65,34,"His foreigners splashed down into the Purelake. Grump was last. He seemed very dissatisfied. ""Where are you, Roamer? What a fool's quest this is."" Then, he added in his own tongue, *""Alavanta kamaloo kayana.""*",0.081,0.919,0.0,-0.4391
The Way of Kings,15,interlude_1,interlude,Ishikk,1,66,5,He splashed after his companions.,0.0,1.0,0.0,0.0
The Way of Kings,15,interlude_1,interlude,Ishikk,1,67,24,"""Well, you've got the 'fool' part right,"" Ishikk said with a chuckle, turning his own direction and heading off to check on his traps.",0.101,0.732,0.167,0.2263
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,1,5,Nan Balat liked killing things.,0.431,0.294,0.275,-0.3818
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,2,10,"Not people. Never people. But animals, those he could kill.",0.421,0.579,0.0,-0.8201
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,3,16,Particularly the little ones. He wasn't sure why it made him feel better; it simply did.,0.104,0.742,0.154,0.2354
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,4,80,"He sat on the porch of his mansion, pulling the legs off a small crab one at a time. There was a satisfying rip to each one---he pulled on it lightly at first, and the animal grew stiff. Then he pulled harder, and it started to squirm. The ligament resisted, then started ripping, followed by a quick pop. The crab squirmed some more, and Nan Balat held up the leg, pinching the beast with two fingers on his other hand.",0.0,0.928,0.072,0.7351
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,5,31,"He sighed in satisfaction. Ripping a leg free soothed him, made the aches in his body retreat. He tossed the leg over his shoulder and moved on to the next one.",0.053,0.693,0.253,0.7579
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,6,29,He didn't like to talk about his habit. He didn't even speak of it to Eylita. It was just something he did. You had to keep your sanity somehow.,0.07,0.93,0.0,-0.2755
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,7,105,"He finished with the legs, then stood up, leaning on his cane, looking out over the Davar gardens, which were made up of stonework walls covered with different kinds of vines. They were beautiful, though Shallan had been the only one who truly appreciated them. This area of Jah Keved---to the west and south of Alethkar, of higher elevation and broken by mountains such as the Horneater Peaks---had a profusion of vines. They grew on everything, covering the mansion, growing over the steps. Out in the wilds, they hung from trees, grew over rocky expanses, as ubiquitous as grass was in other areas of Roshar.",0.026,0.875,0.099,0.8271
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,8,62,"Balat walked to the edge of the porch. Some wild songlings began to sing in the distance, scraping their ridged shells. They each played a different beat and notes, though they couldn't really be called melodies. Melodies were things of humans, not animals. But each one *was* a song, and at times they seemed to sing back and forth to one another.",0.0,0.973,0.027,0.1779
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,9,73,"Balat walked down the steps one at a time, the vines shaking and pulling away before his feet fell. It had been nearly six months since Shallan's departure. This morning, they'd had word from her via spanreed that she'd succeeded in the first part of her plan, becoming Jasnah Kholin's ward. And so, his baby sister---who before this had never left their estates---was preparing to rob the most important woman in the world.",0.064,0.877,0.059,-0.1045
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,10,60,"Walking down the steps was depressingly hard work for him. *Twenty-three years old,* he thought, *and already a cripple.* He still felt a constant, latent ache. The break had been bad, and the surgeon had nearly decided to cut off the entire leg. Perhaps he could be thankful that hadn't proven necessary, though he would always walk with a cane.",0.183,0.765,0.052,-0.802
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,11,37,"Scrak was playing with something in the sitting green, a place where cultivated grass was grown and kept free of vines. The large axehound rolled about, gnawing at the object, antennae pulled back flat against her skull.",0.0,0.873,0.127,0.6249
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,12,11,"""Scrak,"" Balat said, hobbling forward, ""what have you got there, girl?""",0.0,1.0,0.0,0.0
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,13,25,"The axehound looked up at her master, antennae cocking upward. The hound trumped with two echoing voices overlapping one another, then went back to playing.",0.0,0.93,0.07,0.2023
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,14,56,"*Blasted creature,* Balat thought fondly, *never would obey properly.* He'd been breeding axehounds since his youth, and had discovered---as had many before him---that the smarter an animal was, the more likely it was to disobey. Oh, Scrak was loyal, but she'd ignore you on the little things. Like a young child trying to prove her independence.",0.048,0.82,0.132,0.5548
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,15,93,"As he got closer, he saw that Scrak had managed to catch a songling. The fist-sized creature was shaped like a peaked disc with four arms that reached out from the sides and scraped rhythms along the top. Four squat legs underneath normally held it to a rock wall, though Scrak had chewed those off. She had two of the arms off too, and had managed to crack the shell. Balat almost took it away to pull the other two arms off, but decided it was best to let Scrak have her fun.",0.0,0.858,0.142,0.9274
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,16,81,"Scrak set the songling down and looked up at Balat, her antennae rising inquisitively. She was sleek and lean, six legs extending before her as she sat on her haunches. Axehounds didn't have shells or skin; instead, their body was covered with some fusion of the two, smooth to the touch and more pliable than true carapace, but harder than skin and made of interlocking sections. The axehound's angular face seemed curious, her deep black eyes regarding Balat. She trumped softly.",0.0,0.941,0.059,0.61
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,17,40,"Balat smiled, reaching down and scratching behind the axehound's ear holes. The animal leaned against him---she probably weighed as much as he did. The bigger axehounds came up to a man's waist, though Scrak was of a smaller, quicker breed.",0.0,0.883,0.117,0.6486
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,18,18,"The songling quivered and Scrak pounced on it eagerly, crunching at its shell with her strong outer mandibles.",0.0,0.731,0.269,0.7096
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,19,41,"""Am I a coward, Scrak?"" Balat asked, sitting down on a bench. He set his cane aside and snatched a small crab that had been hiding on the side of the bench, its shell having turned white to match the stone.",0.118,0.882,0.0,-0.6369
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,20,87,"He held up the squirming animal. The green's grass had been bred to be less timid, and it poked out of its holes only a few moments after he passed. Other exotic plants bloomed, poking out of shells or holes in the ground, and soon patches of red, orange, and blue waved in the wind around him. The area around the axehound remained bare, of course. Scrak was having far too much fun with her prey, and she kept even the cultivated plants hidden in their burrows.",0.019,0.944,0.037,0.3804
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,21,46,"""I couldn't have gone to chase Jasnah,"" Balat said, starting to pull the crab's legs off. ""Only a woman could get close enough to her to steal the Soulcaster. We decided that. Besides, someone needs to stay back and care for the needs of the house.""",0.063,0.873,0.063,0.0
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,22,33,"The excuses were hollow. He *did* feel like a coward. He pulled off a few more legs, but it was unsatisfying. The crab was too small, and the legs came off too easily.",0.054,0.814,0.132,0.431
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,23,51,"""This plan probably won't even work,"" he said, taking off the last of the legs. Odd, looking at a creature like this when it had no legs. The crab was still alive. Yet how could you know it? Without the legs to wiggle, the creature seemed as dead as a stone.",0.147,0.768,0.085,-0.5719
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,24,46,"*The arms,* he thought, *we wave them about to make us seem alive. That's what they're good for.* He put his fingers between the halves of the crab's shell and began to pry them apart. This, at least, had a nice feeling of resistance to it.",0.0,0.811,0.189,0.8316
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,25,57,"They were a broken family. Years of suffering their father's brutal temper had driven Asha Jushu to vice and Tet Wikim to despair. Only Balat had escaped unscathed. Balat and Shallan. She'd been left alone, never touched. At times, Balat had hated her for that, but how could you truly hate someone like Shallan? Shy, quiet, delicate.",0.29,0.598,0.112,-0.8873
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,26,36,"*I should never have let her go,* he thought. *There should have been another way.* She'd never manage on her own; she was probably terrified. It was a wonder she'd done as much as she had.",0.103,0.897,0.0,-0.6124
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,27,50,"He tossed the pieces of crab over his shoulder. *If only Helaran had survived.* Their eldest brother---then known as Nan Helaran, as he'd been the first son---had stood up to their father repeatedly. Well, he was dead now, and so was their father. They'd left behind a family of cripples.",0.071,0.84,0.089,0.0258
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,28,21,"""Balat!"" a voice cried. Wikim appeared on the porch. The younger man was past his recent bout of melancholy, it appeared.",0.234,0.766,0.0,-0.6996
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,29,4,"""What?"" Balat said, standing.",0.0,1.0,0.0,0.0
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,30,18,"Wikim rushed down the steps, hurrying up to him, vines---then grass---pulling back before him. ""We have a problem.""",0.114,0.886,0.0,-0.4019
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,31,4,"""How large a problem?""",0.474,0.526,0.0,-0.4019
The Way of Kings,16,interlude_2,interlude,Nan Balat,1,32,6,"""Pretty big, I'd say. Come on.""",0.0,0.61,0.39,0.4939
The Way of Kings,17,interlude_3,interlude,Szeth,1,1,45,"Szeth-son-son-Vallano, Truthless of Shinovar, sat on the wooden tavern floor, lavis beer slowly soaking through his brown trousers. Grimy, worn, and fraying, his clothing was far different from the simple---yet elegant---whites he had worn over five years before when he'd assassinated the king of Alethkar.",0.13,0.814,0.056,-0.4767
The Way of Kings,17,interlude_3,interlude,Szeth,1,2,52,"Head bowed, hands in his lap, he carried no weapons. He hadn't summoned his Shardblade in years, and it felt equally long since he'd had a bath. He did not complain. If he looked like a wretch, people treated him as a wretch. One did not ask a wretch to assassinate people.",0.0,0.875,0.125,0.7198
The Way of Kings,17,interlude_3,interlude,Szeth,1,3,86,"""So he'll do whatever you say?"" asked one of the mine workers sitting at the table. The man's clothing was little better than Szeth's, covered with so much dirt and dust that it was difficult to tell grimy skin from grimy cloth. There were four of them, holding ceramic cups. The room smelled of mud and sweat. The ceiling was low, the windows---on the leeward side only---mere slots. The table was precariously held together with several leather straps, as the wood was cracked down the middle.",0.129,0.844,0.026,-0.8508
The Way of Kings,17,interlude_3,interlude,Szeth,1,4,28,"Took---Szeth's current master---set his cup down on the table's tilted side. It sagged under the weight of his arm. ""Yeah, he sure will. Hey, kurp, look at me.""",0.0,0.87,0.13,0.5423
The Way of Kings,17,interlude_3,interlude,Szeth,1,5,50,"Szeth looked up. ""Kurp"" meant child in the local Bav dialect. Szeth was accustomed to such pejorative labels. Though he was in his thirty-fifth year---and his seventh year since being named Truthless---his people's large, round eyes, shorter stature, and tendency toward baldness led Easterners to claim they looked like children.",0.0,0.955,0.045,0.3612
The Way of Kings,17,interlude_3,interlude,Szeth,1,6,4,"""Stand up,"" Took said.",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,7,3,Szeth did so.,0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,8,4,"""Jump up and down.""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,9,2,Szeth complied.,0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,10,6,"""Pour Ton's beer on your head.""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,11,4,Szeth reached for it.,0.0,0.682,0.318,0.1027
The Way of Kings,17,interlude_3,interlude,Szeth,1,12,17,"""Hey!"" Ton said, pulling the cup away. ""None of that, now! Oi ain't done with this yet!""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,13,15,"""If you were,"" said Took, ""he couldn't right pour it on his head, could he?""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,14,9,"""Get 'im to do something else, Took,"" Ton griped.",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,15,18,"""All right."" Took pulled out his boot knife and tossed it to Szeth. ""Kurp, cut your arm up.""",0.11,0.89,0.0,-0.2732
The Way of Kings,17,interlude_3,interlude,Szeth,1,16,19,"""Took ..."" said one of the other men, a sniffly man named Amark. ""That ain't right, you know it.""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,17,26,"Took didn't rescind the order, so Szeth complied, taking the knife and cutting at the flesh of his arm. Blood seeped out around the dirty blade.",0.155,0.845,0.0,-0.5267
The Way of Kings,17,interlude_3,interlude,Szeth,1,18,5,"""Cut your throat,"" Took said.",0.344,0.656,0.0,-0.2732
The Way of Kings,17,interlude_3,interlude,Szeth,1,19,7,"""Now, Took!"" Amark said, standing. ""Oi won't---""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,20,21,"""Oh hush, you,"" Took said. Several groups of men from other tables were watching now. ""You'll see. Kurp, cut your throat.""",0.095,0.905,0.0,-0.2732
The Way of Kings,17,interlude_3,interlude,Szeth,1,21,35,"""I am forbidden to take my own life,"" Szeth said softly in the Bav language. ""As Truthless, it is the nature of my suffering to be forbidden the taste of death by my own hand.""",0.275,0.655,0.07,-0.8555
The Way of Kings,17,interlude_3,interlude,Szeth,1,22,6,"Amark settled back down, looking sheepish.",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,23,8,"""Dustmother,"" Ton said, ""he always talks like that?""",0.0,0.737,0.263,0.3612
The Way of Kings,17,interlude_3,interlude,Szeth,1,24,10,"""Like what?"" Took asked, taking a gulp from his mug.",0.0,0.783,0.217,0.3612
The Way of Kings,17,interlude_3,interlude,Szeth,1,25,9,"""Smooth words, so soft and proper. Like a lighteyes.""",0.0,0.762,0.238,0.3612
The Way of Kings,17,interlude_3,interlude,Szeth,1,26,77,"""Yeah,"" Took said. ""He's like a slave, only better 'cuz he's a Shin. He don't run or talk back or anything. Don't have to pay him, neither. He's like a parshman, but smarter. Worth a right many spheres, Oi'd say."" He eyed the other men. ""Could take him to the mines with you to work, and collect his pay. He'd do things you don't wanna. Muck out the privy, whitewash the home. All kinds of useful stuff.""",0.036,0.762,0.202,0.9126
The Way of Kings,17,interlude_3,interlude,Szeth,1,27,37,"""Well, how'd you come by him, then?"" one of the other men asked, scratching his chin. Took was a transient worker, moving from town to town. Displaying Szeth was one of the ways he made quick friends.",0.0,0.871,0.129,0.6369
The Way of Kings,17,interlude_3,interlude,Szeth,1,28,33,"""Oh, now, that's a story,"" Took said. ""Oi was traveling in the mountains down south, you know, and Oi heard this weird howling noise. It wasn't joust the wind, you know, and ...""",0.055,0.945,0.0,-0.2204
The Way of Kings,17,interlude_3,interlude,Szeth,1,29,54,"The tale was a complete fabrication; Szeth's previous master---a farmer in a nearby village---had traded Szeth to Took for a sack of seeds. The farmer had gotten him from a traveling merchant, who had gotten him from a cobbler who'd won him in an illegal game of chance. There had been dozens before him.",0.056,0.855,0.089,0.2732
The Way of Kings,17,interlude_3,interlude,Szeth,1,30,55,"At first, the darkeyed commoners enjoyed the novelty of owning him. Slaves were far too expensive for most, and parshmen were even more valuable. So having someone like Szeth to order around was quite the novelty. He cleaned floors, sawed wood, helped in the fields, and carried burdens. Some treated him well, some did not.",0.039,0.781,0.18,0.8425
The Way of Kings,17,interlude_3,interlude,Szeth,1,31,7,But they always got rid of him.,0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,32,49,"Perhaps they could sense the truth, that he was capable of so much more than they dared use him for. It was one thing to have a slave of your own. But when that slave talked like a lighteyes and knew more than you did? It made them uncomfortable.",0.062,0.817,0.122,0.3182
The Way of Kings,17,interlude_3,interlude,Szeth,1,33,73,"Szeth tried to play the part, tried to make himself act less refined. It was very difficult for him. Perhaps impossible. What would these men say if they knew that the man who emptied their chamber pot was a Shardbearer and a Surgebinder? A Windrunner, like the Radiants of old? The moment he summoned his Blade, his eyes would turn from dark green to pale---almost glowing---sapphire, a unique effect of his particular weapon.",0.079,0.834,0.088,0.1943
The Way of Kings,17,interlude_3,interlude,Szeth,1,34,55,"Best that they never discovered. Szeth gloried in being wasted; each day he was made to clean or dig instead of kill was a victory. That evening five years ago still haunted him. Before then, he had been ordered to kill---but always in secret, silently. Never before had he been given such deliberately terrible instructions.",0.229,0.707,0.064,-0.887
The Way of Kings,17,interlude_3,interlude,Szeth,1,35,19,"*Kill, destroy, and cut your way to the king. Be seen doing it. Leave witnesses. Wounded but alive. ...*",0.308,0.557,0.135,-0.3291
The Way of Kings,17,interlude_3,interlude,Szeth,1,36,21,"""... and *that* is when he swore to serve me my entire life,"" Took finished. ""He's been with me ever since.""",0.0,1.0,0.0,0.0
The Way of Kings,17,interlude_3,interlude,Szeth,1,37,20,"The listening men turned to Szeth. ""It is true,"" he said, as he'd been ordered earlier. ""Every word of it.""",0.0,0.872,0.128,0.4215
The Way of Kings,17,interlude_3,interlude,Szeth,1,38,29,Took smiled. Szeth didn't make him uncomfortable; he apparently considered it natural that Szeth obeyed him. Perhaps as a result he would remain Szeth's master longer than the others.,0.0,0.761,0.239,0.8011
The Way of Kings,17,interlude_3,interlude,Szeth,1,39,24,"""Well,"" Took said, ""Oi should be going. Need to get an early start tomorrow. More places to see, more unseen roads to dare ...""",0.0,0.916,0.084,0.2732
